,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,南海ホークス,150,84,63,3,,0.571,- -
1,阪急ブレーブス,150,79,65,6,,0.549,3.5
2,東映フライヤーズ,150,78,68,4,,0.534,5.5
3,東京オリオンズ,150,77,68,5,,0.531,6.0
4,西鉄ライオンズ,150,63,81,6,,0.438,19.5
5,近鉄バファローズ,150,55,91,4,,0.377,28.5
