,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,西武ライオンズ,130,80,47,3,,0.63,- -
1,近鉄バファローズ,130,74,50,6,,0.597,4.5
2,オリックス・ブルーウェーブ,130,61,64,5,,0.488,18.0
3,福岡ダイエーホークス,130,57,72,1,,0.442,24.0
4,日本ハム・ファイターズ,130,54,73,3,,0.425,26.0
5,千葉ロッテマリーンズ,130,54,74,2,,0.422,26.5
