,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,順位 前 後 期 期
0,阪急ブレーブス,130,64,59,7,,0.52,1 / 6
1,近鉄バファローズ,130,71,50,9,,0.587,3 / 1
2,太平洋クラブ・ライオンズ,130,58,62,10,,0.483,2 / 4
3,ロッテ・オリオンズ,130,59,65,6,,0.476,6 / 2
4,南海ホークス,130,57,65,8,,0.467,5 / 3
5,日本ハム・ファイターズ,130,55,63,12,,0.466,4 / 4
