,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,東京ヤクルトスワローズ,143,73,52,18,,0.584,- -
1,阪神タイガース,143,77,56,10,,0.579,0.0
2,読売ジャイアンツ,143,61,62,20,,0.496,11.0
3,広島東洋カープ,143,63,68,12,,0.481,13.0
4,中日ドラゴンズ,143,55,71,17,,0.437,18.5
5,横浜DeNAベイスターズ,143,54,73,16,,0.425,20.0
