,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,福岡ダイエーホークス,140,82,55,3,,0.599,- -
1,西武ライオンズ,140,77,61,2,,0.558,5.5
2,大阪近鉄バファローズ,140,74,64,2,,0.536,8.5
3,千葉ロッテマリーンズ,140,68,69,3,,0.496,14.0
4,日本ハム・ファイターズ,140,62,74,4,,0.456,19.5
5,オリックス・ブルーウェーブ,140,48,88,4,,0.353,33.5
