,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,ロッテ・オリオンズ,130,80,47,3,,0.63,- -
1,南海ホークス,130,69,57,4,,0.548,10.5
2,近鉄バファローズ,130,65,59,6,,0.524,13.5
3,阪急ブレーブス,130,64,64,2,,0.5,16.5
4,東映フライヤーズ,130,54,70,6,,0.435,24.5
5,西鉄ライオンズ,130,43,78,9,,0.355,34.0
