,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,読売ジャイアンツ,130,74,53,3,,0.581,- -
1,大阪タイガース,130,73,54,3,,0.573,1.0
2,中日ドラゴンズ,130,70,57,3,,0.55,4.0
3,国鉄スワローズ,130,58,68,4,,0.462,15.5
4,広島カープ,130,54,75,1,,0.419,21.0
5,大洋ホエールズ,130,52,74,4,,0.415,21.5
