,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,大洋ホエールズ,130,70,56,4,,0.554,- -
1,読売ジャイアンツ,130,66,61,3,,0.519,4.5
2,大阪タイガース,130,64,62,4,,0.508,6.0
3,広島カープ,130,62,61,7,,0.504,6.5
4,中日ドラゴンズ,130,63,67,0,,0.485,9.0
5,国鉄スワローズ,130,54,72,4,,0.431,16.0
