,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,阪神タイガース,140,80,56,4,,0.588,- -
1,大洋ホエールズ,140,80,58,2,,0.58,1.0
2,読売ジャイアンツ,140,71,69,0,,0.507,11.0
3,広島カープ,140,64,73,3,,0.467,16.5
4,国鉄スワローズ,140,61,74,5,,0.452,18.5
5,中日ドラゴンズ,140,57,83,0,,0.407,25.0
