,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,福岡ソフトバンクホークス,144,78,60,6,,0.565,- -
1,オリックス・バファローズ,144,80,62,2,,0.563,0.0
2,北海道日本ハムファイターズ,144,73,68,3,,0.518,6.5
3,千葉ロッテマリーンズ,144,66,76,2,,0.465,14.0
4,埼玉西武ライオンズ,144,63,77,4,,0.45,16.0
5,東北楽天ゴールデンイーグルス,144,64,80,0,,0.444,17.0
