,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,西武ライオンズ,130,68,49,13,,0.581,- -
1,近鉄バファローズ,130,66,52,12,,0.559,2.5
2,阪急ブレーブス,130,63,57,10,,0.525,6.5
3,ロッテ・オリオンズ,130,57,64,9,,0.471,13.0
4,日本ハム・ファイターズ,130,57,65,8,,0.467,13.5
5,南海ホークス,130,49,73,8,,0.402,21.5
