,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,西武ライオンズ,130,73,51,6,,0.589,- -
1,近鉄バファローズ,130,74,52,4,,0.587,0.0
2,日本ハム・ファイターズ,130,62,65,3,,0.488,12.5
3,阪急ブレーブス,130,60,68,2,,0.469,15.0
4,南海ホークス,130,58,71,1,,0.45,17.5
5,ロッテ・オリオンズ,130,54,74,2,,0.422,21.0
