,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,阪急ブレーブス,130,76,50,4,,0.603,- -
1,近鉄バファローズ,130,73,51,6,,0.589,2.0
2,ロッテ・オリオンズ,130,69,54,7,,0.561,5.5
3,東映フライヤーズ,130,57,70,3,,0.449,19.5
4,西鉄ライオンズ,130,51,75,4,,0.405,25.0
5,南海ホークス,130,50,76,4,,0.397,26.0
