,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,広島東洋カープ,130,75,45,10,,0.625,- -
1,中日ドラゴンズ,130,73,49,8,,0.598,3.0
2,読売ジャイアンツ,130,67,54,9,,0.554,8.5
3,阪神タイガース,130,53,69,8,,0.434,23.0
4,ヤクルトスワローズ,130,51,71,8,,0.418,25.0
5,横浜大洋ホエールズ,130,46,77,7,,0.374,30.5
