,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,順位 前 後 期 期
0,阪急ブレーブス,130,69,51,10,,0.575,1 / 2
1,南海ホークス,130,63,55,12,,0.534,2 / 3
2,ロッテ・オリオンズ,130,60,57,13,,0.513,5 / 1
3,近鉄バファローズ,130,59,61,10,,0.492,3 / 6
4,日本ハム・ファイターズ,130,58,61,11,,0.487,4 / 4
5,クラウンライター・ライオンズ,130,49,73,8,,0.402,6 / 5
