,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,福岡ソフトバンクホークス,144,88,46,10,,0.657,- -
1,北海道日本ハムファイターズ,144,72,65,7,,0.526,17.5
2,埼玉西武ライオンズ,144,68,67,9,,0.5037,20.5
3,オリックス・バファローズ,144,69,68,7,,0.5036,20.5
4,東北楽天ゴールデンイーグルス,144,66,71,7,,0.482,23.5
5,千葉ロッテマリーンズ,144,54,79,11,,0.406,33.5
