,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,南海ホークス,120,71,48,1,,0.597,- -
1,阪急ブレーブス,120,67,52,1,,0.563,4.0
2,大映スターズ,120,63,53,4,,0.543,6.5
3,西鉄ライオンズ,120,57,61,2,,0.483,13.5
4,毎日オリオンズ,120,56,62,2,,0.475,14.5
5,東急フライヤーズ,120,50,67,3,,0.427,20.0
6,近鉄パールス,120,48,69,3,,0.41,22.0
