,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,南海ホークス,133,79,51,3,,0.608,- -
1,西鉄ライオンズ,138,75,55,8,,0.577,4.0
2,東映フライヤーズ,136,70,60,6,,0.538,9.0
3,東京オリオンズ,134,61,69,4,,0.469,18.0
4,阪急ブレーブス,134,57,73,4,,0.438,22.0
5,近鉄バファローズ,133,48,82,3,,0.369,31.0
