,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,順位 前 後 期 期
0,近鉄バファローズ,130,68,54,8,,0.557,2 / 1
1,ロッテ・オリオンズ,130,64,51,15,,0.557,1 / 3
2,日本ハム・ファイターズ,130,66,53,11,,0.555,2 / 2
3,西武ライオンズ,130,62,64,4,,0.492,6 / 4
4,阪急ブレーブス,130,58,67,5,,0.464,4 / 5
5,南海ホークス,130,48,77,5,,0.384,5 / 6
