,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,阪神タイガース,133,75,55,3,,0.577,- -
1,大洋ホエールズ,134,71,59,4,,0.546,4.0
2,中日ドラゴンズ,133,70,60,3,,0.538,5.0
3,読売ジャイアンツ,134,67,63,4,,0.515,8.0
4,広島カープ,134,56,74,4,,0.431,19.0
5,国鉄スワローズ,134,51,79,4,,0.392,24.0
