,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,横浜ベイスターズ,136,79,56,1,,0.585,- -
1,中日ドラゴンズ,136,75,60,1,,0.556,4.0
2,読売ジャイアンツ,135,73,62,0,,0.541,6.0
3,ヤクルトスワローズ,135,66,69,0,,0.489,13.0
4,広島東洋カープ,135,60,75,0,,0.444,19.0
5,阪神タイガース,135,52,83,0,,0.385,27.0
