,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,読売ジャイアンツ,120,83,37,0,,0.692,- -
1,大阪タイガース,120,79,40,1,,0.664,3.5
2,名古屋ドラゴンズ,120,75,43,2,,0.636,7.0
3,大洋ホエールズ,120,58,62,0,,0.483,25.0
4,国鉄スワローズ,120,50,70,0,,0.417,33.0
5,広島カープ,120,37,80,3,,0.316,44.5
6,松竹ロビンス,120,34,84,2,,0.288,48.0
