,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率
0,西武ライオンズ,133,74,58,1,,0.561
1,福岡ダイエーホークス,133,77,52,4,,0.597
2,北海道日本ハムファイターズ,133,66,65,2,,0.504
3,千葉ロッテマリーンズ,133,65,65,3,,0.5
4,大阪近鉄バファローズ,133,61,70,2,,0.466
5,オリックス・ブルーウェーブ,133,49,82,2,,0.374
