,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,北海道日本ハムファイターズ,144,79,60,5,,0.568,- -
1,千葉ロッテマリーンズ,144,76,61,7,,0.555,2.0
2,福岡ソフトバンクホークス,144,73,66,5,,0.525,6.0
3,東北楽天ゴールデンイーグルス,144,67,75,2,,0.472,13.5
4,西武ライオンズ,144,66,76,2,,0.465,14.5
5,オリックス・バファローズ,144,62,77,5,,0.446,17.0
