,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,読売ジャイアンツ,130,84,44,2,,0.656,- -
1,広島東洋カープ,130,73,51,6,,0.589,9.0
2,中日ドラゴンズ,130,68,59,3,,0.535,15.5
3,ヤクルトスワローズ,130,55,72,3,,0.433,28.5
4,阪神タイガース,130,54,75,1,,0.419,30.5
5,横浜大洋ホエールズ,130,47,80,3,,0.37,36.5
