,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,中日ドラゴンズ,146,87,54,5,,0.617,- -
1,阪神タイガース,146,84,58,4,,0.592,3.5
2,東京ヤクルトスワローズ,146,70,73,3,,0.49,18.0
3,読売ジャイアンツ,146,65,79,2,,0.451,23.5
4,広島東洋カープ,146,62,79,5,,0.44,25.0
5,横浜ベイスターズ,146,58,84,4,,0.408,29.5
