,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,読売ジャイアンツ,130,88,42,0,,0.677,- -
1,広島東洋カープ,132,66,64,2,,0.508,22.0
2,横浜大洋ホエールズ,133,64,66,3,,0.492,24.0
3,中日ドラゴンズ,131,62,68,1,,0.477,26.0
4,ヤクルトスワローズ,130,58,72,0,,0.446,30.0
5,阪神タイガース,130,52,78,0,,0.4,36.0
