,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,埼玉西武ライオンズ,143,88,53,2,,0.624,- -
1,福岡ソフトバンクホークス,143,82,60,1,,0.577,6.5
2,北海道日本ハムファイターズ,143,74,66,3,,0.529,13.5
3,オリックス・バファローズ,143,65,73,5,,0.471,21.5
4,千葉ロッテマリーンズ,143,59,81,3,,0.421,28.5
5,東北楽天ゴールデンイーグルス,143,58,82,3,,0.414,29.5
