,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,読売ジャイアンツ,130,82,44,4,,0.646,- -
1,大阪タイガース,130,79,50,1,,0.612,4.5
2,中日ドラゴンズ,130,74,56,0,,0.569,10.0
3,国鉄スワローズ,130,61,65,4,,0.485,21.0
4,広島カープ,130,45,82,3,,0.358,37.5
5,大洋ホエールズ,130,43,87,0,,0.331,41.0
