,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,西鉄ライオンズ,130,78,47,5,,0.619,- -
1,南海ホークス,130,77,48,5,,0.612,1.0
2,阪急ブレーブス,130,73,51,6,,0.585,4.5
3,毎日大映オリオンズ,130,62,63,5,,0.496,16.0
4,東映フライヤーズ,130,57,70,3,,0.45,22.0
5,近鉄パールス,130,29,97,4,,0.238,49.5
