,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,阪急ブレーブス,134,80,50,4,,0.615,- -
1,南海ホークス,136,79,51,6,,0.608,1.0
2,東京オリオンズ,139,67,63,9,,0.515,13.0
3,近鉄バファローズ,135,57,73,5,,0.438,23.0
4,西鉄ライオンズ,133,56,74,3,,0.431,24.0
5,東映フライヤーズ,135,51,79,5,,0.392,29.0
