,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率
0,千葉ロッテマリーンズ,136,84,49,3,,0.632
1,福岡ソフトバンクホークス,136,89,45,2,,0.664
2,西武ライオンズ,136,67,69,0,,0.493
3,オリックス・バファローズ,136,62,70,4,,0.47
4,北海道日本ハムファイターズ,136,62,71,3,,0.466
5,東北楽天ゴールデンイーグルス,136,38,97,1,,0.281
