,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,中日ドラゴンズ,144,75,59,10,,0.56,- -
1,東京ヤクルトスワローズ,144,70,59,15,,0.543,2.5
2,読売ジャイアンツ,144,71,62,11,,0.534,3.5
3,阪神タイガース,144,68,70,6,,0.493,9.0
4,広島東洋カープ,144,60,76,8,,0.441,16.0
5,横浜ベイスターズ,144,47,86,11,,0.353,27.5
