,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,西武ライオンズ,130,76,52,2,,0.594,- -
1,オリックス・ブルーウェーブ,130,68,59,3,,0.5354,7.5
2,近鉄バファローズ,130,68,59,3,,0.5354,7.5
3,福岡ダイエーホークス,130,69,60,1,,0.5348,7.5
4,千葉ロッテマリーンズ,130,55,73,2,,0.43,21.0
5,日本ハム・ファイターズ,130,46,79,5,,0.368,28.5
