,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,広島東洋カープ,132,74,56,2,,0.569,- -
1,中日ドラゴンズ,131,71,59,1,,0.546,3.0
2,ヤクルトスワローズ,132,67,63,2,,0.515,7.0
3,読売ジャイアンツ,130,66,64,0,,0.508,8.0
4,横浜大洋ホエールズ,131,64,66,1,,0.492,10.0
5,阪神タイガース,130,48,82,0,,0.369,26.0
