,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,読売ジャイアンツ,125,87,37,1,,0.702,- -
1,大阪タイガース,130,74,56,0,,0.569,16.0
2,名古屋ドラゴンズ,130,70,57,3,,0.551,18.5
3,広島カープ,130,53,75,2,,0.414,36.0
4,大洋松竹ロビンス,130,52,77,1,,0.403,37.5
5,国鉄スワローズ,125,45,79,1,,0.363,42.0
