,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,阪急ブレーブス,130,75,45,10,,0.625,- -
1,ロッテ・オリオンズ,130,64,51,15,,0.557,8.5
2,西武ライオンズ,130,62,61,7,,0.504,14.5
3,近鉄バファローズ,130,58,61,11,,0.487,16.5
4,南海ホークス,130,53,65,12,,0.449,21.0
5,日本ハム・ファイターズ,130,44,73,13,,0.376,29.5
