,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,ヤクルトスワローズ,130,68,46,16,,0.596,- -
1,読売ジャイアンツ,130,65,49,16,,0.57,3.0
2,広島東洋カープ,130,62,50,18,,0.554,5.0
3,横浜大洋ホエールズ,130,64,57,9,,0.529,7.5
4,中日ドラゴンズ,130,53,71,6,,0.427,20.0
5,阪神タイガース,130,41,80,9,,0.339,30.5
