,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,読売ジャイアンツ,130,77,48,5,,0.612,- -
1,大阪タイガース,130,62,59,9,,0.512,13.0
2,中日ドラゴンズ,130,64,61,5,,0.512,13.0
3,国鉄スワローズ,130,63,65,2,,0.492,15.5
4,広島カープ,130,59,64,7,,0.481,17.0
5,大洋ホエールズ,130,49,77,4,,0.392,28.5
