,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,中日ドラゴンズ,130,79,46,5,,0.632,- -
1,読売ジャイアンツ,130,68,59,3,,0.535,12.0
2,広島東洋カープ,130,65,62,3,,0.512,15.0
3,横浜大洋ホエールズ,130,59,67,4,,0.468,20.5
4,ヤクルトスワローズ,130,58,69,3,,0.457,22.0
5,阪神タイガース,130,51,77,2,,0.398,29.5
