,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,広島東洋カープ,143,89,52,2,,0.631,- -
1,読売ジャイアンツ,143,71,69,3,,0.507,17.5
2,横浜DeNAベイスターズ,143,69,71,3,,0.493,19.5
3,阪神タイガース,143,64,76,3,,0.457,24.5
4,東京ヤクルトスワローズ,143,64,78,1,,0.451,25.5
5,中日ドラゴンズ,143,58,82,3,,0.414,30.5
