,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,北海道日本ハムファイターズ,144,82,60,2,,0.577,- -
1,東北楽天ゴールデンイーグルス,144,77,66,1,,0.538,5.5
2,福岡ソフトバンクホークス,144,74,65,5,,0.532,6.5
3,埼玉西武ライオンズ,144,70,70,4,,0.5,11.0
4,千葉ロッテマリーンズ,144,62,77,5,,0.446,18.5
5,オリックス・バファローズ,144,56,86,2,,0.394,26.0
