,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,阪神タイガース,140,87,51,2,,0.63,- -
1,中日ドラゴンズ,140,73,66,1,,0.525,14.5
2,読売ジャイアンツ,140,71,66,3,,0.518,15.5
3,ヤクルトスワローズ,140,71,66,3,,0.518,15.5
4,広島東洋カープ,140,67,71,2,,0.486,20.0
5,横浜ベイスターズ,140,45,94,1,,0.324,42.5
