,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,大阪近鉄バファローズ,140,78,60,2,,0.565,- -
1,福岡ダイエーホークス,140,76,63,1,,0.547,2.5
2,西武ライオンズ,140,73,67,0,,0.521,6.0
3,オリックス・ブルーウェーブ,140,70,66,4,,0.515,7.0
4,千葉ロッテマリーンズ,140,64,74,2,,0.464,14.0
5,日本ハム・ファイターズ,140,53,84,3,,0.387,24.5
