,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,南海ホークス,140,85,49,6,,0.629,- -
1,東映フライヤーズ,140,83,52,5,,0.611,2.5
2,西鉄ライオンズ,140,81,56,3,,0.589,5.5
3,毎日大映オリオンズ,140,72,66,2,,0.521,15.0
4,阪急ブレーブス,140,53,84,3,,0.389,33.5
5,近鉄バファロー,140,36,103,1,,0.261,51.5
